user,location,verified,followers,content,polarity
bandt,"Sydney, Australia",TRUE,"56,953","Apple has unveiled its latest work flogging its (slightly too expensive) Airpods and, it has to be, said it’s some… https://t.co/DW4iq2QzVn",-0.055555556
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127","Fucking amazing. @flumemusic and @ToroyMoi - ""The DIfference"" https://t.co/y93L1EtEHo https://t.co/2jiZsHLWlc",0.6
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127",From the archives: @flumemusic - What You Need | #electronic #house | https://t.co/djh02V59Wb https://t.co/7Euiktxiub,
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127",From the archives: @disclosure - You &amp; Me (@flumemusic Remix) | #futuregarage # | https://t.co/SyF6dTT2wx https://t.co/TAKUY0cVwe,
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127","Fucking amazing. @flumemusic and @ToroyMoi - ""The DIfference"" https://t.co/y93L1EtEHo https://t.co/m0JdkgLmIb",0.6
Pinboard,,FALSE,"51,161",@Susan_Hennessey Just put bleach in the log flume https://t.co/3GOaY873Go,
Edmism,Under The Electric Sky,FALSE,"47,790","New Flume, new Dimension, new Koven, new Mefjus https://t.co/MJ5HBVJXR5",0.136363636
Edmism,Under The Electric Sky,FALSE,"47,790",Im so sad but this new Flume song is making me feel good too 😢 https://t.co/BBVmUttqqw,0.112121212
Edmism,Under The Electric Sky,FALSE,"47,790",Flume proves once again he’s a GOD https://t.co/RfMhVmz7bX,0.3
ThemePark,"Los Angeles, CA",FALSE,"47,736",Time for another episode of Theme Park Insider's Social Distancing Kitchen! Today we show you how to make Tonga Toa… https://t.co/E38YMsVtQC,0.033333333
ThemePark,"Los Angeles, CA",FALSE,"47,736","Over the past month, Six Flags, Cedar Fair and SeaWorld have seen their stock prices drop even faster than the rest… https://t.co/JXAOwOpURX",0.225
ThemePark,"Los Angeles, CA",FALSE,"47,736",@carlyewisel We’ve opened the Social Distancing Kitchen: https://t.co/y44mrxqFYL,0.033333333
ThemePark,"Los Angeles, CA",FALSE,"47,736",There goes the one silver lining that a lot of Disney fans were looking to during the current theme park shutdown.… https://t.co/vzD9eYg8lO,
ThemePark,"Los Angeles, CA",FALSE,"47,736",Just because the parks have closed doesn't mean you can't enjoy some theme park magic at home. Here's how to make D… https://t.co/LLlj6yMAJG,0.121875
ThemePark,"Los Angeles, CA",FALSE,"47,736",Here are your latest updates on travel and theme parks in the time of coronavirus: Universal Orlando closes CityWal… https://t.co/h6FQ8xIfuf,0.25
ThemePark,"Los Angeles, CA",FALSE,"47,736","Since the parks are closed, we're opening Theme Park Insider's ""social distancing kitchen,"" to teach you how to mak… https://t.co/jahYqTl4sg",-0.033333333
ThemePark,"Los Angeles, CA",FALSE,"47,736","Disney is closing all of its stores at Disney Springs and Downtown Disney this week, as well as its Walt Disney Wor… https://t.co/KNzufToEGm",
ThemePark,"Los Angeles, CA",FALSE,"47,736",The CDC just put theme parks' planned April 1 re-openings into doubt with a new recommendation to ban gatherings of… https://t.co/2BCQcKms12,0.136363636
ThemePark,"Los Angeles, CA",FALSE,"47,736","Today's news: Walt Disney World has suspended its college program, sending thousands of cast members home from Orla… https://t.co/wxWub3oyNN",
ThemePark,"Los Angeles, CA",FALSE,"47,736","Now that the theme parkalypse is upon us, many fans have questions about how this global two-week (at least) closur… https://t.co/McCMuF4yRq",0.066666667
ThemePark,"Los Angeles, CA",FALSE,"47,736","Warren Buffet has said, ""you only find out who is swimming naked when the tide goes out."" Well, it's out now. Who's… https://t.co/RxyfHQ7ZMD",
