,user,location,verified,followers,content,polarity
614,fuxwithitblog,"Toronto, Ontario",FALSE,"3,322",".@flumemusic  x @ToroyMoi bless fans with a summer anthem

https://t.co/SsgSQXxu9j",
444,YCTan888,,FALSE,"3,290","Flume Drops New Chill Drum &amp; Bass Collab With Toro Y Moi, “The Difference” https://t.co/nz0XZkfwle",-0.006818182
381,PaaSDev,"Hightstown, NJ",FALSE,"3,259","@Ritesh_MZ Use #SelectHiveQL and #PutDatabaseRecord

@Cloudera @apachenifi 

https://t.co/eRQF4haxWl.  .",
155,thewanderlistco,United States,FALSE,"3,252",My heart is broken I won’t be seeing Flume next weekend,-0.2
152,thewanderlistco,United States,FALSE,"3,252",@karaterhune ugh I’m debating on trying to hit up flume at red rocks in June if that doesn’t end up getting cancelled as well 😔,
432,mrk_rbnsn,"tokyo, japan. ",FALSE,"3,247",the flume &amp; toro y moi track one of my favorite releases of the year so far,0.3
706,Clairobscur__,"Grenoble, France",FALSE,"3,197",Flume https://t.co/8xe4fRrW7G,
645,9ptohradio,"Kansas City, MO",FALSE,"3,189",Flume Unveils New Single ‘The Difference’ Feat. Toro Y Moi https://t.co/XfxzZqGq7e,0.032467532
633,faust_412,"Pittsburgh, PA",FALSE,"3,156",i love me some flume,0.5
842,sellingpetrol,Reading / Oxford Uni,FALSE,"3,156",Is there anything flume can’t do,
397,soundofus,Paris,FALSE,"3,101","New songs by : Anna Burch / Yves Tumor / Flume, Toro y Moi / JFDR / Torii Wolf / added to monthly @Spotify playlist… https://t.co/Y31fYZOb1Q",0.136363636
132,RadioWHATTwit,,FALSE,"3,090",#NowPlaying Flume - Heater https://t.co/oBBaLwbvsM #ListenLive,
958,flumeismydad,in the cosmos,FALSE,"3,065",Have you ever met someone that gets more emo than me over Flume?,0.5
1118,flumeismydad,in the cosmos,FALSE,"3,065",NEW FLUME TODAY NEW FLUME TODAY NEW FLUME TODAY,0.136363636
954,flumeismydad,in the cosmos,FALSE,"3,065",@ohradisyn @Brezzzy33 Omg hi hunnnny follow me let’s be friends &amp; geek over flume together every day all day,
946,MusicNews_b,Internet,FALSE,"3,054","Flume and Toro Y Moi Share New Song “The Difference”: Listen
https://t.co/ftvmYNmny3
+1 TrackBot #Music",0.136363636
145,CRS_One,Diamond In The Rough...via NYC,FALSE,"3,044",#iTunesFriday | The Difference (feat. Toro y Moi) - Single by Flume https://t.co/PqEEdZkVpW,-0.071428571
794,nean,すべてが「その他」であるような宇宙,FALSE,"3,037",Flume - The Difference (ft. Toro y Moi) - YouTube https://t.co/8MOPv6ypHR,
519,wararit,bangkok,FALSE,"2,950","แมวนอก 12/3
1. better now - oh wonder
2. the difference - flume, toro y moi
3. cocoon - catfish and the bottlemen
4… https://t.co/8ya942tuCt",0.5
910,brettpatrick,"Los Angeles, CA",FALSE,"2,929",#flume is the best.,1
164,AuntyInternet,,FALSE,"2,925",why flume really hard ahaha,-0.291666667
997,testspiel,Hamburg,FALSE,"2,835",Flume feat. Toro y Moi – The Difference (Official Music Video) https://t.co/SbOujhgQ6d https://t.co/1jbCEn7idT,
844,AliciaSchrock,"San Diego, CA",FALSE,"2,791",I love the new flume song 🥺,0.318181818
567,coramaelme,El Abadia,FALSE,"2,780",You can build a paved flume or lined channel to lead the water to a safe drainage system.,0.5
550,eRadioUS,United States,FALSE,"2,685","#e_RadioUS Flume enlists Toro y Moi for new song, ‘The Difference’ https://t.co/XX1AVmOz4r https://t.co/hZWxN9R9rP",0.136363636
1040,eRadioUS,United States,FALSE,"2,685",#e_RadioUS Flume – “The Difference” (Feat. Toro Y Moi) https://t.co/VpeETHcU6H https://t.co/wzctR6mdro,
938,dewaoka_,BALI,FALSE,"2,664",Two of my favorite artists🔥 | Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/uNif0oxkHB via @YouTube,0.5
818,draindesert,"Brooklyn, NY",FALSE,"2,656",New single from Flume and Toro Y Moi “The Difference” out today.,0.032467532
984,trichomeinc,"Atlanta, GA",FALSE,"2,644","Flume Drops New Chill Drum &amp; Bass Collab With Toro Y Moi, “The Difference” https://t.co/zSNXf1hde4 https://t.co/cCX2AWzDXq",-0.006818182
1101,trichomeinc,"Atlanta, GA",FALSE,"2,644","Listen To Flume &amp; Toro y Moi’s Dreamy New Drum &amp; Bass Collab, “The Difference” https://t.co/XqS1tpO4lY https://t.co/FUvOf2KX0Y",-0.006818182
911,trichomeinc,"Atlanta, GA",FALSE,"2,644","Flume, Toro Y Moi Release Indie Drum &amp; Bass Collab ""The Difference' https://t.co/gGGqquPrRN https://t.co/CtXlswuKWC",-0.075
1082,trichomeinc,"Atlanta, GA",FALSE,"2,644","Flume and Toro Y Moi share visuals for joint drum ‘n’ bass cut, ‘The Difference’ [Watch] https://t.co/2SxAPnqJZd https://t.co/XoyPlmcdGU",-0.15
847,trichomeinc,"Atlanta, GA",FALSE,"2,644","Flume Shares Anticipated Toro Y Moi Collaboration, “The Difference” https://t.co/D6ucforfwJ https://t.co/VpZqH7fJIf",
991,nerdsattack,Rome,FALSE,"2,627",NEW! #Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/uk7KD1XNw0 di @YouTube,0.136363636
980,buddy_ferrara,"Louisville, KY",FALSE,"2,503","Flume 🤝 drum n bass
https://t.co/G21nWm67Zg",-0.15
640,sxrxh012,"Houston, TX",FALSE,"2,500","ME AF w/  Nghtmre, Flume, and RL Grime LMFAOOOOOOO they can own me n my p*ssy https://t.co/mNW9UGDo2n",0.6
475,masterleakers,,FALSE,"2,483",Flume - The Difference (ft. Toro y Moi) [Single] (2020),-0.071428571
1015,Brezzzy33,"Colorado, USA",FALSE,"2,479",New flume and porter within 24 hours bye,0.136363636
952,Brezzzy33,"Colorado, USA",FALSE,"2,479",@flumeismydad @ohradisyn Yes hi hello flume STAN still I die xoxoxo will I see you at red rocks!!,
570,WXSJ973,"Miami, FL",FALSE,"2,428",Flume and Toro Y Moi Share New Song “The Difference”: Listen https://t.co/QYpSErx5IC https://t.co/qKDEksakA7,0.136363636
60,malibugibson,𝑠𝑜𝑢𝑡ℎ 𝑓𝑙𝑜𝑟𝑖𝑑𝑎,FALSE,"2,419",@theneedledrop gonna give thoughts on the new flume &amp; toro y moi song this sunday?,0.136363636
241,Graceyasminn,,FALSE,"2,404",I just want my money back if flume isn’t coming down for the rescheduling,-0.077777778
775,MeGustaGanja,Vantablack Tattoo Gallery,FALSE,"2,355",@tussibunny No but flume gon be at red rocks and I’m thinkin I might just head to that,
387,Mcswazyy,🌐 Wonderland,FALSE,"2,347",Flume Rocks tho...,
120,dngerousprince,he/him,FALSE,"2,319",i think we can all agree that never be like you by flume,
1206,deonvidi,america latina,FALSE,"2,314","Ouvindo ""Disclosure - You &amp; Me (Flume Remix)” https://t.co/3EDDOF8meS",
49,euphoricdazed, 🔜BUKU ,FALSE,"2,294","I’ve been looking forward to seeing flume, glass animals, illenium and zeds dead for months just for it to be cance… https://t.co/6DSBI81Y9s",-0.2
40,fredboycolor,ny,FALSE,"2,287",ive listened to that flume and toro y moi song like twenty times lmao,0.6
224,gojomo,"San Junipero, TCKR",FALSE,"2,274","@random_eddie I suspect theme parks even worse for transmission than concerts: more people, touching more shared su… https://t.co/fzcXuILPja",0.275
45,louis_keswa,South Africa,FALSE,"2,274","The Difference by Flume, Toro y Moi https://t.co/DaMg0CTfnj #NowPlaying",
1202,robertniles,"Los Angeles, CA",TRUE,"2,218","Yes, it's a tough time to be making travel plans. Or to be in the travel business. But I think it's important to re… https://t.co/5oYpR90cDF",0.005555556
271,robertniles,"Los Angeles, CA",TRUE,"2,218","In the end, the political optics of Disneyland getting an exemption from California's large-gathering rules were ju… https://t.co/eAxp0uE5wL",
780,badluckbrittttt,,FALSE,"2,215","The salon let’s me play my music so I’ve had flume, odesza, slander, pretty lights, porter etc on all day and I’m i… https://t.co/unVbEh0zDO",0.25
1062,badluckbrittttt,,FALSE,"2,215",Crying bc my Colorado friends from flume last year are getting flume all set up and invited me into their plans and I just love them 🥺,0.1
596,IndependienteFM,"Guadalajara, México",FALSE,"2,201",#NP Flume - The Difference (feat. Toro y Moi) @flumemusic,
446,pantelisk,Fiki.Trikala.Greece,FALSE,"2,198",Flume and Toro Y Moi Share New Song “The Difference”: Listen https://t.co/z87iBD0YMt via @pitchfork,0.136363636
73,HEERON,顔でかいからや,FALSE,"2,159",Flume feat. Toro y Moi - The Difference [Official Lyric Video] https://t.co/bZDnOlI0Io,0.25
72,HEERON,顔でかいからや,FALSE,"2,159",Flume feat. Toro y Moi - The Difference (Official Music Video) https://t.co/03qNkSKz1H,
539,itselleokay,Sydney,FALSE,"2,140",this new flume toro y moi is MWAH !,0.136363636
