Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
I'll Still Love You - Just Me and My Piano,Abby Anderson,38,17438,"['contemporary country', 'country pop']",51,2020-04-17,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Trash My Heart,Walker Hayes,56,229573,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",64,2020-04-24,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neon Fools,Adam Doleac,71,17832,"['contemporary country', 'country pop']",63,2020-04-17,2020-06-19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Summer Feelings (feat. Charlie Puth),Various Artists,67,897340,[],0,2020-05-15,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stay a Little Longer,Alyssa Palmer,30,52,[],18,2020-05-22,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Luckier You Get,American Aquarium,40,35720,"['alternative country', 'deep new americana', 'modern southern rock', 'new americana', 'roots americana', 'roots rock', 'southern americana', 'stomp and holler', 'texas country']",50,2020-05-01,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tears Of Blue To Gold,Larkin Poe,48,104357,['modern blues rock'],55,2020-06-12,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Living Alone,Seth Ward,45,433,[],35,2020-04-17,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Can't Not,Steven Lee Olsen,38,9573,"['canadian contemporary country', 'canadian country', 'country pop']",43,2020-03-20,2020-06-19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I Do - Acoustic,Astrid S,48,597503,"['dance pop', 'electropop', 'norwegian pop', 'pop', 'post-teen pop', 'swedish pop', 'tropical house']",77,2020-03-20,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Drink,Southbound,44,285,[],35,2020-05-29,2020-06-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
We'll Figure It Out,Smithfield,0,27483,"['contemporary country', 'country pop']",43,2020-06-19,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Sun Never Goes Down,Aubrey Wollett,0,435,[],26,2020-06-19,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Send It My Way,Shawn Austin,45,4837,"['canadian contemporary country', 'canadian country', 'country pop']",42,2020-04-17,2020-06-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dangerous,Shawn Austin,37,4837,"['canadian contemporary country', 'canadian country', 'country pop']",42,2020-05-29,2020-06-19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Desert Child (Acoustic),Austin Burke,36,10668,"['contemporary country', 'country pop']",53,2020-04-17,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dock Rock,The Washboard Union,49,18670,"['canadian contemporary country', 'canadian country', 'washboard']",47,2020-04-24,2020-06-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange and Blue,Sarah Jarosz,43,86905,"['folk', 'indie folk', 'lilith', 'new americana', 'progressive bluegrass', 'stomp and holler']",58,2020-05-01,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Whenever I Call You ""Friend"" (feat. Phillip Sweet)",Sara Evans,34,751371,"['contemporary country', 'country', 'country dawn', 'country gospel', 'country road']",59,2020-05-01,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OBVIOUS,Sammy Arriaga,34,5286,"['contemporary country', 'country pop']",39,2020-04-10,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Look Out Mountain,Sam Riggs,42,20941,"['contemporary country', 'country pop', 'red dirt', 'texas country']",54,2020-05-22,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hard To Forget - Radio Edit,Sam Hunt,72,1815259,"['contemporary country', 'country pop']",79,2020-03-13,2020-06-19,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pearson Road,Austin Upchurch,33,657,[],27,2020-03-06,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Young Once,Sam Hunt,65,1815259,"['contemporary country', 'country pop']",79,2020-04-03,2020-06-19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poet's Prayer,Sunny Sweeney,44,48285,"['contemporary country', 'country', 'country dawn', 'country pop', 'modern country rock', 'roots americana', 'texas country']",44,2020-05-01,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Record High,Sykamore,39,1097,"['alberta country', 'canadian contemporary country']",30,2020-04-03,2020-06-19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trainwreck,Ashland Craft,52,2622,"['contemporary country', 'country pop']",42,2020-04-24,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Good Love and Good Whiskey,Teddy Robb,47,3554,['country pop'],49,2020-04-17,2020-06-19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
If She Only Knew,The Washboard Union,35,18670,"['canadian contemporary country', 'canadian country', 'washboard']",47,2020-04-24,2020-06-19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wrecked Everything,The Viper Creek Band,42,2801,['australian country'],33,2020-03-20,2020-06-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Make a Little Life,The Tuten Brothers,31,884,[],22,2020-06-05,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Good To You,The Swon Brothers,44,37751,"['contemporary country', 'country pop', 'oklahoma country']",42,2020-06-05,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stuck,Andrew Hyatt,40,6430,"['canadian contemporary country', 'canadian country', 'country pop']",41,2020-05-08,2020-06-19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Low Life,The Prairie States,31,489,['alberta country'],22,2020-05-01,2020-06-19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I Got This,The McClymonts,50,21974,"['australian country', 'australian pop', 'country dawn']",49,2020-03-13,2020-06-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Heart,The McClymonts,45,21974,"['australian country', 'australian pop', 'country dawn']",49,2020-05-08,2020-06-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Fall,The McClymonts,41,21974,"['australian country', 'australian pop', 'country dawn']",49,2020-06-12,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Comin' Home,The Desert City Ramblers,39,123,[],28,2020-06-05,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Circles,The Cadillac Three,48,108877,"['contemporary country', 'modern southern rock']",61,2020-04-17,2020-06-19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
